ISO3,event date,Renewable_gen_GW,Demand_GW,share of res in demand
AUT,16-05-2017,6.302822917,7.007458333,0.899444937
ARG,22-10-2020,7.426,15.55327083,0.477455841
AUT,26-04-2015,2.999083333,5.260104167,0.570156643
AUT,30-05-2019,6.639864583,5.918552083,1.121873135
ARG,23-09-2021,7.508442222,15.87241667,0.473049718
AUT,27-06-2021,5.00071875,5.56809375,0.89810247
AUS,08-07-2018,4.408443646,20.99459458,0.209979937
AUS,13-07-2021,6.076339822,27.631569,0.219905711
AUT,02-03-2016,4.535791667,8.205239583,0.552792106
AUT,09-02-2016,5.4151875,7.8398125,0.690729211
AUS,06-11-2017,3.243595766,20.46142813,0.158522452
AUS,19-09-2015,2.098823967,19.77157604,0.1061536
AUT,18-04-2016,5.896947917,7.272947917,0.81080574
AUS,18-12-2018,3.95669839,22.42908167,0.176409291
ARG,18-07-2021,6.459256111,17.46377083,0.36986606
AUT,26-08-2018,4.445270833,5.646510417,0.78725983
ARG,22-10-2021,6.11385303,15.3305,0.398803237
AUS,10-06-2018,3.659606961,20.95506313,0.174640703
ARG,01-04-2021,6.5,14.39227983,0.451631019
ARG,28-12-2020,6.591,18.96314583,0.347568914
AUT,12-01-2020,2.56959375,7.00009375,0.367079905
AUT,05-09-2016,6.821197917,7.07675,0.963888496
AUS,02-03-2015,1.911076557,22.20521458,0.086064314
AUT,25-08-2019,4.3236875,5.615520833,0.769953069
AUS,03-07-2019,4.284496941,23.69398083,0.180826387
AUS,01-08-2020,3.684136693,24.21748208,0.152127157
AUT,20-08-2020,6.241041667,6.900885417,0.904382741
AUT,28-07-2021,6.728270833,7.126447917,0.944126851
AUT,25-08-2021,6.279770833,7.106510417,0.88366448
AUS,21-06-2018,3.730040121,24.54188063,0.151986727
AUS,20-08-2017,3.567250693,21.0805725,0.16921982
AUS,09-01-2021,3.978970032,24.58322848,0.161857098
AUT,03-09-2021,6.335770833,6.782572917,0.934124986
AUS,07-06-2018,5.680536025,22.86398021,0.248449131
AUT,08-11-2017,5.7851875,8.21696875,0.70405373
AUS,16-05-2018,3.594463208,22.58900292,0.159124474
AUT,20-03-2019,6.028895833,8.0239375,0.751363758
ARG,25-01-2020,8.151,19.23475,0.423764281
AUT,26-05-2021,7.5459375,7.153302083,1.054888695
ARG,26-08-2020,6.409,15.02604167,0.42652617
AUS,17-12-2016,3.298083446,20.03930813,0.164580704
ARG,22-05-2021,7.158,16.21157993,0.441536237
ARG,08-06-2021,6.734,16.94483198,0.397407304
AUS,17-08-2018,5.644499079,22.04897313,0.255998275
AUT,11-05-2015,0.791510417,6.078552083,0.130213644
AUT,22-03-2017,6.464427083,7.76790625,0.832196846
AUT,13-03-2015,4.055458333,7.933125,0.511205651
AUS,17-07-2020,4.677003126,27.90683333,0.167593473
ARG,06-11-2021,6.451647475,13.65470833,0.472485191
AUT,19-10-2021,3.450791667,7.662583333,0.450343118
AUS,15-06-2016,4.136211699,23.53988208,0.175710808
AUS,12-09-2017,3.857565027,21.64557625,0.178214938
AUS,19-03-2019,2.667644867,22.16189438,0.120370796
AUS,12-08-2019,4.365929791,23.49418396,0.185830238
AUT,10-11-2015,3.589572917,7.127229167,0.503642135
AUS,26-06-2015,2.578775585,23.05014521,0.111876761
AUT,03-01-2015,2.850229167,5.445458333,0.523414007
AUT,20-12-2014,1.195208333,61.78663043,0.019344125
AUT,06-04-2017,6.6019375,7.648833333,0.863129998
AUT,21-03-2018,5.32846875,8.698760417,0.61255495
AUT,18-03-2018,3.1193125,7.094125,0.439703628
AUS,02-02-2020,3.763043343,26.04982917,0.144455586
AUS,05-10-2018,2.961809019,20.89542438,0.141744382
AUS,09-01-2017,1.773074289,23.14909625,0.076593672
AUT,21-03-2017,5.728604167,7.518260417,0.761958731
AUS,24-10-2018,2.695342185,20.53412146,0.131261627
AUS,28-01-2017,1.707137105,22.24303292,0.076749295
AUS,14-10-2017,2.923587074,19.04232021,0.153531032
AUT,11-02-2017,2.94653125,7.646625,0.385337485
ARG,17-03-2020,6.019,15.63483333,0.384973723
AUT,11-06-2020,5.532260417,5.283572917,1.047068055
AUT,03-03-2017,5.289375,7.937677083,0.666363086
AUT,28-06-2021,6.490197917,7.293979167,0.889802091
ARG,18-11-2021,5.526283333,15.02908333,0.367705948
AUT,04-09-2016,3.542333333,5.5565,0.637511623
AUS,21-03-2019,3.407143026,22.67979729,0.150228108
AUT,21-05-2020,5.9410625,5.3364375,1.113301243
AUT,13-11-2018,4.017229167,7.926916667,0.506783323
AUT,28-12-2014,1.530177083,11.95958696,0.127945646
AUT,27-01-2022,3.698885417,8.424833333,0.43904553
ARG,06-07-2021,6.510879167,18.79625,0.346392454
AUT,18-01-2018,6.244822917,8.67834375,0.719586951
ARG,10-01-2021,7.012,16.25060417,0.43149165
ARG,25-06-2021,6.860580556,18.2383125,0.376163121
AUT,03-04-2019,7.64221875,7.291729167,1.048066731
AUS,06-04-2019,2.545327075,19.32450333,0.131715006
AUT,28-08-2018,4.984854167,7.154114583,0.696781427
AUS,15-01-2018,2.943864652,20.86262708,0.141107093
AUS,08-12-2017,1.839741085,21.26882813,0.08649941
ARG,31-03-2020,4.35,13.36722917,0.325422714
AUS,02-05-2016,4.055958317,20.66519521,0.196270022
AUT,31-07-2019,6.21875,6.841083333,0.909030003
AUT,09-03-2015,3.45490625,7.976697917,0.43312487
AUT,21-07-2018,4.074104167,5.713979167,0.713006479
AUT,17-10-2016,5.074927083,7.66275,0.662285352
AUT,03-03-2020,6.544979167,8.25715625,0.79264325
AUT,29-01-2020,4.5330625,8.693322917,0.521441863
ARG,28-02-2020,6.822,17.01045833,0.401047395
AUT,23-08-2018,4.5460625,7.474541667,0.608206189
AUS,12-07-2016,5.075615992,23.37455333,0.217142801
AUS,05-03-2021,4.962273423,24.36402265,0.203672172
AUT,30-12-2017,3.532010417,7.16228125,0.493140425
AUS,29-01-2016,2.740764111,23.38795042,0.117187016
AUT,01-10-2018,4.535729167,7.542385417,0.601365339
AUT,27-09-2016,4.17603125,7.17590625,0.581951757
AUS,14-08-2016,2.786113745,20.52219979,0.13576097
AUT,17-06-2020,7.794770833,6.780989583,1.149503437
