year,country_ISO3,technology_field,raised_amount_usd,number_of_deals
2007,USA,Bioenergy,216465157.23270437,7.666666666666667
2007,USA,Energy Efficiency,465818832.65408796,29.166666666666668
2007,USA,Fossil Fuels,299054284.50314456,12.333333333333334
2007,USA,Grid,58336100.62893081,5.783333333333333
2007,USA,Hybrid and Electric mobility,362367924.52830184,4.0
2007,USA,Other Energy,852971339.8364779,54.2
2007,USA,Other Renewables,645451562.8050313,21.816666666666666
2007,USA,Solar,564453637.0754716,23.416666666666668
2007,USA,Storage (not electromobility),152905867.92452827,8.95
2007,USA,Wind,11118198.113207545,2.6666666666666665
2008,AUS,Other Energy,508944.78181818186,1.0
2008,BEL,Fossil Fuels,881817.4181818182,1.0
2008,BLR,Energy Efficiency,1290909.090909091,1.0
2008,CAN,Fossil Fuels,33668186.660606064,2.333333333333333
2008,CAN,Other Energy,14046368.47878788,1.8333333333333333
2008,CAN,Other Renewables,2581818.181818182,0.5
2008,CAN,Solar,20998787.87878788,1.3333333333333333
2008,CHE,Fossil Fuels,618663.6636363637,0.5
2008,CHE,Solar,618663.6636363637,0.5
2008,CHN,Energy Efficiency,40617359.85454546,6.0
2008,CHN,Hybrid and Electric mobility,2323636.3636363638,1.0
2008,CHN,Other Energy,223024134.56969696,2.833333333333333
2008,CHN,Other Renewables,20654545.454545457,1.5
2008,CHN,Solar,210115043.66060603,2.333333333333333
2008,CHN,Storage (not electromobility),8606060.606060605,0.3333333333333333
2008,DEU,Energy Efficiency,7087907.409090909,1.0
2008,DEU,Grid,16467967.200000001,1.0
2008,DEU,Hybrid and Electric mobility,22214569.072727274,3.0
2008,DEU,Other Energy,7087907.409090909,1.0
2008,DEU,Other Renewables,7993309.090909092,2.0
2008,DEU,Solar,116795761.63636363,2.0
2008,DNK,Energy Efficiency,10327272.727272728,0.5
2008,DNK,Other Energy,10327272.727272728,0.5
2008,FIN,Fossil Fuels,3190402.6424242426,0.3333333333333333
2008,FIN,Other Energy,3190402.6424242426,0.3333333333333333
2008,FIN,Other Renewables,3190402.6424242426,0.3333333333333333
2008,FRA,Fossil Fuels,20116236.363636367,2.0
2008,FRA,Other Energy,2629339.772727273,1.0
2008,FRA,Solar,35293454.54545455,2.5
2008,FRA,Storage (not electromobility),14200000.0,1.0
2008,FRA,Wind,1661157.9545454546,0.5
2008,GBR,Bioenergy,8239840.454545455,2.0
2008,GBR,Energy Efficiency,6742848.484848485,1.3333333333333333
2008,GBR,Fossil Fuels,30426659.5,2.0
2008,GBR,Grid,1249600.0,1.0
2008,GBR,Other Energy,65103405.8939394,4.333333333333333
2008,GBR,Other Renewables,17004202.23030303,1.8333333333333333
2008,GBR,Wind,6608079.7272727275,0.5
2008,IND,Energy Efficiency,671272.7272727273,0.5
2008,IND,Hybrid and Electric mobility,30981818.181818184,1.0
2008,IND,Other Energy,671272.7272727273,0.5
2008,IND,Other Renewables,12960727.272727273,1.0
2008,IND,Solar,119409090.90909092,1.0
2008,IRL,Energy Efficiency,630118.5454545454,0.3333333333333333
2008,IRL,Other Energy,630118.5454545454,0.3333333333333333
2008,IRL,Other Renewables,630118.5454545454,0.3333333333333333
2008,ISR,Energy Efficiency,4303030.303030303,0.3333333333333333
2008,ISR,Fossil Fuels,4195454.545454546,1.0
2008,ISR,Hydrogen and Fuel Cells,645454.5454545455,0.25
2008,ISR,Other Energy,21407575.757575758,2.083333333333333
2008,ISR,Other Renewables,3227272.7272727275,0.5
2008,ISR,Solar,4948484.848484849,0.5833333333333333
2008,ISR,Storage (not electromobility),645454.5454545455,0.25
2008,KEN,Solar,7745454.545454546,1.0
2008,NOR,Hybrid and Electric mobility,5163636.363636364,1.0
2008,NOR,Solar,43942545.45454545,2.0
2008,SWE,Grid,2672181.8181818184,1.0
2008,SWE,Other Energy,787454.5454545455,0.5
2008,SWE,Solar,787454.5454545455,0.5
2008,USA,Bioenergy,347141212.6727273,8.916666666666666
2008,USA,Energy Efficiency,748728893.0333333,43.03333333333333
2008,USA,Fossil Fuels,232576546.64545456,15.583333333333334
2008,USA,Grid,129990632.38636364,8.033333333333333
2008,USA,Hybrid and Electric mobility,387050084.1818182,12.0
2008,USA,Hydrogen and Fuel Cells,28889474.215151515,2.1666666666666665
2008,USA,Other Energy,1471490737.7954545,70.48333333333333
2008,USA,Other Renewables,605343324.0530304,32.016666666666666
2008,USA,Solar,1846870718.1818182,35.583333333333336
2008,USA,Storage (not electromobility),218537099.0530303,13.183333333333334
2008,USA,Wind,27980453.254545458,5.0
2008,ZAF,Other Energy,60401002.52727273,1.0
2009,AUS,Other Energy,6493902.43902439,0.5
2009,AUS,Wind,6493902.43902439,0.5
2009,AUT,Solar,3676322.8536585364,1.0
2009,BEL,Other Energy,2272865.8536585364,1.0
2009,BRA,Fossil Fuels,4069180.573170732,2.0
2009,CAN,Fossil Fuels,3333536.5853658533,0.3333333333333333
2009,CAN,Grid,19559726.359756097,1.0
2009,CAN,Other Energy,27977896.341463417,3.333333333333333
2009,CAN,Other Renewables,18929725.609756097,2.0
2009,CAN,Solar,5086890.243902438,1.3333333333333333
2009,CHN,Energy Efficiency,9064581.25609756,2.0
2009,CHN,Other Energy,12771341.463414634,0.8333333333333333
2009,CHN,Other Renewables,21836455.65243902,1.6666666666666665
2009,CHN,Solar,1948170.731707317,0.5
2009,DEU,Energy Efficiency,29996719.216463417,1.5
2009,DEU,Other Energy,28222986.393292684,1.0
2009,DEU,Solar,17533536.585365854,0.5
2009,DNK,Energy Efficiency,5195121.951219512,0.5
2009,DNK,Other Energy,5195121.951219512,0.5
2009,ESP,Bioenergy,649390.243902439,0.25
2009,ESP,Other Energy,1650786.3658536584,1.25
2009,ESP,Other Renewables,2300176.6097560977,1.5
2009,FIN,Energy Efficiency,8599030.792682927,1.0
2009,FIN,Fossil Fuels,2814290.640243902,0.3333333333333333
2009,FIN,Other Energy,2814290.640243902,0.3333333333333333
2009,FIN,Other Renewables,2814290.640243902,0.3333333333333333
2009,FRA,Grid,163074.01219512193,0.3333333333333333
2009,FRA,Other Energy,3890574.012195122,1.3333333333333333
2009,FRA,Other Renewables,163074.01219512193,0.3333333333333333
2009,GBR,Bioenergy,6632473.225609756,2.0
2009,GBR,Energy Efficiency,22371871.847560976,3.333333333333333
2009,GBR,Fossil Fuels,1929970.9207317072,1.0
2009,GBR,Other Energy,29464716.649390243,3.833333333333333
2009,GBR,Other Renewables,1043333.0945121951,0.5
2009,GBR,Solar,4285975.609756097,0.3333333333333333
2009,IND,Energy Efficiency,162347.56097560975,0.5
2009,IND,Hybrid and Electric mobility,1298780.487804878,1.0
2009,IND,Other Energy,81173.78048780488,0.25
2009,IND,Solar,81173.78048780488,0.25
2009,IRL,Energy Efficiency,305646.3414634146,0.3333333333333333
2009,IRL,Fossil Fuels,8766768.292682927,1.0
2009,IRL,Other Energy,305646.3414634146,0.3333333333333333
2009,IRL,Other Renewables,305646.3414634146,0.3333333333333333
2009,ISR,Fossil Fuels,2597560.975609756,0.3333333333333333
2009,ISR,Other Energy,27274390.243902437,1.3333333333333333
2009,ISR,Other Renewables,2597560.975609756,0.3333333333333333
2009,ISR,Solar,24676829.26829268,1.0
2009,NLD,Hybrid and Electric mobility,633898.3902439025,1.0
2009,NLD,Other Energy,194817.07317073172,0.5
2009,NLD,Solar,194817.07317073172,0.5
2009,NOR,Hybrid and Electric mobility,68445731.70731707,2.0
2009,NOR,Other Renewables,5584756.097560976,1.0
2009,NOR,Solar,23520914.63414634,2.0
2009,TUR,Storage (not electromobility),64939.0243902439,1.0
2009,USA,Bioenergy,61301612.13414634,5.833333333333333
2009,USA,Energy Efficiency,483741211.28353655,42.15
2009,USA,Fossil Fuels,196596737.09146342,13.0
2009,USA,Grid,36749562.76829268,4.7
2009,USA,Hybrid and Electric mobility,1741075922.9268293,19.0
2009,USA,Hydrogen and Fuel Cells,53899390.24390244,1.25
2009,USA,Other Energy,1020559776.3262194,51.449999999999996
2009,USA,Other Renewables,547520964.3414633,27.53333333333333
2009,USA,Solar,1517895924.3109756,27.25
2009,USA,Storage (not electromobility),376813730.45731705,15.583333333333334
2009,USA,Wind,68185975.6097561,1.25
2010,ARE,Other Renewables,19131736.52694611,1.0
2010,BEL,Fossil Fuels,3898582.365269461,1.0
2010,BEL,Other Energy,10203592.814371258,1.0
2010,BMU,Energy Efficiency,1087532.9341317364,0.3333333333333333
2010,BMU,Other Energy,1087532.9341317364,0.3333333333333333
2010,BMU,Other Renewables,1087532.9341317364,0.3333333333333333
2010,CAN,Energy Efficiency,8200936.2035928145,1.0
