year,country_ISO3,number_of_deals,raised_amount_usd,sector
2012,CHL,1,48409.090909090904,energy_and_green
2012,CHN,8,69325775.625,energy_and_non_green
2012,CHN,8,46088402.65909091,energy_and_green
2012,DEU,1,18130926.698863637,energy_and_non_green
2012,DEU,9,35996842.67045454,energy_and_green
2012,ESP,3,455206.4147727273,energy_and_non_green
2012,ESP,1,4738425.8352272725,energy_and_green
2012,EST,1,17854.482954545452,energy_and_non_green
2012,ETH,1,6051136.363636363,energy_and_green
2012,FIN,1,2395575.903409091,energy_and_non_green
2012,FIN,2,6171136.448863636,energy_and_green
2012,FRA,2,50386016.522727266,energy_and_non_green
2012,FRA,2,4753793.301136363,energy_and_green
2012,GBR,19,35846877.35795454,energy_and_non_green
2012,GBR,8,21569464.363636363,energy_and_green
2012,HKG,1,60511363.63636363,energy_and_green
2012,IND,4,16840909.142045453,energy_and_green
2012,IRL,3,131825.2159090909,energy_and_non_green
2012,ISL,1,288795.32386363635,energy_and_green
2012,ISR,1,3630681.818181818,energy_and_non_green
2012,ISR,3,10892045.454545453,energy_and_green
2012,ITA,5,4146480.6818181816,energy_and_non_green
2012,ITA,1,121022.72727272726,energy_and_green
2012,JPN,2,495732.0852272727,energy_and_green
2012,KEN,1,6293181.818181817,energy_and_non_green
2012,KOR,1,3074110.3977272725,energy_and_non_green
2012,KOR,2,600877.8409090909,energy_and_green
2012,LTU,1,17233.636363636364,energy_and_non_green
2012,LUX,1,12150681.818181818,energy_and_green
2012,MEX,1,59946.1875,energy_and_green
2012,MYS,1,145227.2727272727,energy_and_non_green
2012,NLD,1,4856675.931818182,energy_and_green
2012,POL,1,132767.98295454544,energy_and_green
2012,PRT,1,345211.2784090909,energy_and_green
2012,SAU,1,240835.22727272726,energy_and_non_green
2012,SGP,2,1167692.625,energy_and_non_green
2012,SRB,1,181534.0909090909,energy_and_green
2012,SVK,2,7251905.7102272725,energy_and_green
2012,SWE,1,304219.6704545454,energy_and_green
2012,TUR,1,605113.6363636364,energy_and_green
2012,USA,146,1058030092.9772726,energy_and_non_green
2012,USA,172,4422774753.698863,energy_and_green
2013,AUS,4,14428202.376404492,energy_and_non_green
2013,AUS,1,448735.9550561797,energy_and_green
2013,AUT,1,478651.6853932584,energy_and_non_green
2013,AUT,2,14378253.876404492,energy_and_green
2013,BEL,2,5414473.162921348,energy_and_non_green
2013,BMU,1,139108.1460674157,energy_and_green
2013,CAN,12,34532044.63483146,energy_and_non_green
2013,CAN,5,5529317.258426965,energy_and_green
2013,CHE,2,4656168.033707865,energy_and_non_green
2013,CHE,6,615102.1179775281,energy_and_green
2013,CHL,1,47865.16853932584,energy_and_non_green
2013,CHL,1,47865.16853932584,energy_and_green
2013,CHN,13,65006743.21348314,energy_and_non_green
2013,CHN,5,3142097.02247191,energy_and_green
2013,DEU,2,9605558.08988764,energy_and_non_green
