country_ISO3,sector,number_of_companies,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,time_to_expansion_stage,time_to_bridge_stage,time_to_ipo,time_to_acquired,time_to_success,time_to_early_stage
DEU,energy_and_digital,459,0.4357298474945534,0.8714596949891068,2.3965141612200433,4.139433551198257,5.4936488169364885,5.031089934484812,11.956947162426614,13.842546333601932,13.2925799086758,2.4379426208322563
DNK,energy_and_non_digital,209,0.4784688995215311,2.8708133971291865,4.30622009569378,8.133971291866029,7.291324200913242,9.103835616438356,7.276712328767124,13.408610567514678,13.12988792029888,4.685714285714285
DNK,energy_and_digital,64,1.5625,1.5625,4.6875,6.25,3.5986301369863014,4.673581213307242,7.338356164383562,8.610958904109589,7.9746575342465755,3.243493150684931
DOM,energy_and_non_digital,5,20.0,20.0,20.0,20.0,,7.419178082191781,,2.0712328767123287,2.0712328767123287,
DOM,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
DZA,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
ECU,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
ECU,energy_and_digital,2,0.0,0.0,0.0,0.0,,,,,,0.15616438356164383
EGY,energy_and_non_digital,31,0.0,0.0,3.225806451612903,6.451612903225806,,8.098630136986301,18.884931506849316,8.632876712328768,13.758904109589043,0.8876712328767122
EGY,energy_and_digital,16,0.0,0.0,0.0,0.0,,14.501369863013698,,,,1.33013698630137
ESP,energy_and_non_digital,686,0.2915451895043732,0.7288629737609329,1.3119533527696794,2.7696793002915454,6.895641344956413,7.589489414694894,14.254337899543378,17.833904109589042,17.11799086757991,3.128478731074261
ESP,energy_and_digital,205,0.0,0.4878048780487805,0.975609756097561,3.414634146341464,5.2246575342465755,6.130410958904109,15.14931506849315,11.092602739726027,11.349119373776906,2.349747656813266
EST,energy_and_non_digital,25,4.0,4.0,4.0,8.0,,8.58904109589041,,6.873972602739726,6.873972602739726,2.540639269406393
EST,energy_and_digital,27,0.0,0.0,0.0,0.0,5.9232876712328775,10.673972602739727,,,,2.3767123287671232
ETH,energy_and_non_digital,3,0.0,0.0,0.0,0.0,,4.958904109589041,,,,2.095890410958904
