year,country_ISO3,technology_field,number_of_companies
1984.0,BGD,Fossil Fuels,1.0
1984.0,BRA,Energy Efficiency,1.0
1984.0,BRA,Other Renewables,1.0
1984.0,CAN,Energy Efficiency,1.3333333333333333
1984.0,CAN,Fossil Fuels,5.333333333333333
1984.0,CAN,Grid,4.0
1984.0,CAN,Hybrid and Electric mobility,1.0
1984.0,CAN,Other Energy,2.1666666666666665
1984.0,CAN,Other Renewables,1.6666666666666665
1984.0,CAN,Wind,0.5
1984.0,CHE,Energy Efficiency,1.5
1984.0,CHE,Grid,1.0
1984.0,CHE,Hybrid and Electric mobility,1.0
1984.0,CHE,Other Energy,3.0
1984.0,CHE,Solar,0.5
1984.0,CHN,Energy Efficiency,2.0
1984.0,CHN,Grid,1.0
1984.0,CHN,Hybrid and Electric mobility,1.0
1984.0,CHN,Other Energy,1.5
1984.0,CHN,Solar,1.5
1984.0,COL,Grid,1.0
1984.0,DEU,Energy Efficiency,2.333333333333333
1984.0,DEU,Fossil Fuels,1.5
1984.0,DEU,Grid,5.5
1984.0,DEU,Hybrid and Electric mobility,1.0
1984.0,DEU,Other Energy,7.333333333333333
1984.0,DEU,Other Renewables,2.0
1984.0,DEU,Solar,3.833333333333333
1984.0,DEU,Wind,1.5
1984.0,ESP,Energy Efficiency,1.0
1984.0,ESP,Fossil Fuels,0.5
1984.0,ESP,Grid,1.0
1984.0,ESP,Hybrid and Electric mobility,1.0
1984.0,ESP,Other Energy,3.0
1984.0,ESP,Other Renewables,3.5
1984.0,FRA,Energy Efficiency,1.0
1984.0,FRA,Fossil Fuels,1.0
1984.0,FRA,Other Energy,0.5
1984.0,FRA,Other Renewables,0.5
1984.0,GBR,Energy Efficiency,1.0
1984.0,GBR,Fossil Fuels,6.333333333333333
1984.0,GBR,Grid,1.5
1984.0,GBR,Hybrid and Electric mobility,1.0
1984.0,GBR,Other Energy,3.3333333333333335
1984.0,GBR,Other Renewables,0.8333333333333333
1984.0,GBR,Solar,1.0
1984.0,GRC,Energy Efficiency,2.5
1984.0,GRC,Other Energy,0.5
1984.0,GRC,Solar,2.0
1984.0,HKG,Energy Efficiency,1.0
1984.0,HKG,Fossil Fuels,1.0
1984.0,IDN,Fossil Fuels,1.0
1984.0,IDN,Other Energy,1.0
1984.0,IND,Fossil Fuels,1.0
1984.0,IND,Grid,1.0
1984.0,IND,Other Energy,3.5
1984.0,IND,Solar,0.5
1984.0,IRL,Fossil Fuels,0.5
1984.0,IRL,Other Energy,0.5
1984.0,ISR,Other Energy,1.0
1984.0,ITA,Energy Efficiency,0.3333333333333333
1984.0,ITA,Other Energy,1.3333333333333333
1984.0,ITA,Other Renewables,1.0
1984.0,ITA,Solar,0.3333333333333333
1984.0,JPN,Other Energy,2.5
1984.0,JPN,Other Renewables,1.5
1984.0,JPN,Solar,3.0
1984.0,JPN,Storage (not electromobility),1.0
1984.0,KOR,Energy Efficiency,1.0
1984.0,KOR,Fossil Fuels,1.5
1984.0,KOR,Other Energy,1.0
1984.0,KOR,Solar,0.5
1984.0,LUX,Grid,1.0
1984.0,MYS,Energy Efficiency,1.0
1984.0,MYS,Fossil Fuels,2.0
1984.0,MYS,Other Energy,1.5
1984.0,MYS,Other Renewables,0.5
1984.0,NLD,Fossil Fuels,0.5
1984.0,NLD,Other Energy,2.5
1984.0,NLD,Other Renewables,0.5
1984.0,NLD,Solar,0.5
1984.0,NOR,Energy Efficiency,0.5
1984.0,NOR,Fossil Fuels,0.5
1984.0,NOR,Other Renewables,1.0
1984.0,PER,Grid,0.3333333333333333
1984.0,PER,Other Energy,0.3333333333333333
1984.0,PER,Other Renewables,0.3333333333333333
1984.0,PRT,Energy Efficiency,0.5
1984.0,PRT,Fossil Fuels,0.5
1984.0,PRT,Other Energy,2.0
1984.0,PRT,Solar,2.0
1984.0,QAT,Fossil Fuels,1.0
1984.0,SWE,Energy Efficiency,1.0
1984.0,SWE,Grid,1.5
1984.0,SWE,Nuclear,1.0
1984.0,SWE,Other Energy,2.0
1984.0,SWE,Other Renewables,1.0
1984.0,SWE,Storage (not electromobility),0.5
1984.0,THA,Energy Efficiency,0.5
